"","DemixT"
"GSM152804",0.509139803443401
"GSM152805",0.673517489633316
"GSM152806",0.670780346442143
"GSM152807",0.328692075432503
"GSM152808",0.510898666396937
"GSM152809",0.489934311886681
"GSM152810",0.755695063682594
"GSM152811",0.581137195339031
"GSM152812",0.328841898187383
"GSM152813",0.511666078416726
"GSM152814",0.615261863257505
"GSM152815",0.612946281082726
"GSM152816",0.389139797455801
"GSM152817",0.488932380815959
"GSM152818",0.672037218341657
"GSM152819",0.389057157711385
"GSM152820",0.405758519061878
"GSM152821",0.386914420401954
"GSM152856",0.328170274879817
"GSM152857",0.388915123505621
"GSM152858",0.525373702385795
"GSM152859",0.658095746978926
"GSM152860",0.602922236341843
"GSM152861",0.544757254490559
"GSM152862",0.682735186801045
"GSM152863",0.327951033295506
"GSM152864",0.466164558773007
"GSM152865",0.387396568074596
"GSM152866",0.486776683719967
"GSM152867",0.388333584025065
"GSM152868",0.550008888688936
"GSM152869",0.42673976925708
"GSM152870",0.564314026226133
"GSM152871",0.328285255103332
"GSM152872",0.525137148186401
"GSM152873",0.445769904046877
"GSM152874",0.469010781076589
"GSM152875",0.487176248391143
"GSM152876",0.615806837860971
"GSM152877",0.50859422373857
"GSM152878",0.449107890218571
"GSM152879",0.468713446306036
"GSM152880",0.486119230490683
"GSM152931",0.328590675463917
"GSM152932",0.38937117754845
"GSM152933",0.367984069654987
"GSM152934",0.44580423255185
"GSM152935",0.329104462908658
"GSM152936",0.327902350029901
"GSM152937",0.445155490404867
"GSM152938",0.328764762111485
"GSM152939",0.329169895448138
"GSM152940",0.307912292290341
"GSM152941",0.526897915618081
"GSM152942",0.387389532575131
"GSM152943",0.387408791459158
"GSM152944",0.388270121256379
"GSM152945",0.670246096332285
"GSM152946",0.634673351798227
"GSM152947",0.467780187023558
"GSM152948",0.613414997125759
"GSM152949",0.407955293450348
"GSM152950",0.327797251670285
"GSM152951",0.42963401259332
"GSM152952",0.387408354329201
"GSM152953",0.427188422910001
"GSM152954",0.387028996103673
"GSM152955",0.328648963031565
"GSM152956",0.408067578286571
"GSM152957",0.38724749337458
"GSM152958",0.387100716568905
"GSM152959",0.387198911368767
"GSM152960",0.386346302162319
"GSM152961",0.430545139322874
"GSM152962",0.388206949636342
"GSM152963",0.368792162902155
"GSM152964",0.327717945982532
"GSM152965",0.346568616458901
"GSM152966",0.387715238438155
"GSM152967",0.387370198639942
"GSM152968",0.327753791523988
"GSM152969",0.328148128017949
"GSM152970",0.46792407087123
"GSM152971",0.388069849446421
"GSM152972",0.387231524388906
"GSM152973",0.573201404663075
"GSM152974",0.389569206839138
"GSM152975",0.327872167574637
"GSM152976",0.408358582836485
"GSM152977",0.444708604106334
"GSM152978",0.425785985112777
"GSM152979",0.369385918987481
"GSM152980",0.445945516705999
"GSM152981",0.48699492599101
"GSM152982",0.524741488937729
"GSM152983",0.387524190305607
"GSM152984",0.406883978395699
"GSM152985",0.526239443140382
"GSM152986",0.328047837292078
"GSM152987",0.671711140504431
"GSM152988",0.407448471785654
"GSM152989",0.44525605044617
"GSM152990",0.672780783794288
"GSM152991",0.567074776663285
"GSM187524",0.724181008280594
"GSM187525",0.60775474266943
"GSM187526",0.623298101030072
"GSM187527",0.488900412541011
