"","DemixT"
"GSM160343",0.329431899254773
"GSM160344",0.469351553481285
"GSM160345",0.330041467805754
"GSM160346",0.329623158706153
"GSM160347",0.469425534472193
"GSM160348",0.329713162824279
"GSM160349",0.48907016364951
"GSM160350",0.330591242104937
"GSM160351",0.329484609720698
"GSM160352",0.349946825178848
"GSM160353",0.329551164872351
"GSM160354",0.329908684713223
"GSM160355",0.429456753128785
"GSM160356",0.490559838738614
"GSM160357",0.409833809663367
"GSM160358",0.671277827442121
"GSM160359",0.350092844654938
"GSM160360",0.449457202362308
"GSM160361",0.329295538939301
"GSM160362",0.429984197771304
"GSM160363",0.329425934734017
"GSM160364",0.329897697586547
"GSM160365",0.329775430147276
"GSM160366",0.469844468795764
"GSM160367",0.329393241737481
"GSM160368",0.509374743303983
"GSM160369",0.509099090726391
"GSM160370",0.450205461524493
"GSM160371",0.449506725534459
"GSM160372",0.32998612708575
"GSM160373",0.449219359224129
"GSM160374",0.449338511372908
"GSM160375",0.530644185470733
"GSM160376",0.329987333009451
"GSM160377",0.329332271908254
"GSM160378",0.449463509753517
"GSM160379",0.46976659102445
"GSM160380",0.329835018756018
"GSM160381",0.489407616243804
"GSM160382",0.469649855266902
"GSM160383",0.44934711463422
"GSM160384",0.329823093076078
"GSM160385",0.32941342850293
"GSM160386",0.289541759324731
"GSM160387",0.329646476181011
"GSM160388",0.409395953769199
"GSM160389",0.329496264091533
"GSM160390",0.44918012082818
"GSM160391",0.449492639449944
"GSM160392",0.44961944330365
"GSM160393",0.329450653602064
"GSM160394",0.449505526282112
"GSM160395",0.449533596192501
"GSM160396",0.329419230089561
"GSM160397",0.329679819502893
"GSM160398",0.469330971138135
"GSM160399",0.449150571090931
"GSM160400",0.469611792219833
"GSM160401",0.449384051380571
"GSM160406",0.470364117362437
"GSM160413",0.449864139252164
"GSM160414",0.449659703410923
"GSM160417",0.470654015884352
